-4.9875 0 0
-4.9625 0 0
-4.9375 0 0
-4.9125 0 0
-4.8875 0 0
-4.8625 0 0
-4.8375 0 0
-4.8125 0 0
-4.7875 0 0
-4.7625 0 0
-4.7375 0 0
-4.7125 0 0
-4.6875 0 0
-4.6625 0 0
-4.6375 0 0
-4.6125 0 0
-4.5875 0 0
-4.5625 0 0
-4.5375 0 0
-4.5125 0 0
-4.4875 0 0
-4.4625 0 0
-4.4375 0 0
-4.4125 0 0
-4.3875 0 0
-4.3625 0 0
-4.3375 0 0
-4.3125 0 0
-4.2875 0 0
-4.2625 0 0
-4.2375 0 0
-4.2125 0 0
-4.1875 0 0
-4.1625 0 0
-4.1375 0 0
-4.1125 0 0
-4.0875 0 0
-4.0625 0 0
-4.0375 0 0
-4.0125 0 0
-3.9875 0 0
-3.9625 0 0
-3.9375 0 0
-3.9125 0 0
-3.8875 0 0
-3.8625 0 0
-3.8375 0 0
-3.8125 0 0
-3.7875 0 0
-3.7625 0 0
-3.7375 0 0
-3.7125 0 0
-3.6875 0 0
-3.6625 0 0
-3.6375 0 0
-3.6125 0 0
-3.5875 0 0
-3.5625 0 0
-3.5375 0 0
-3.5125 0 0
-3.4875 0 0
-3.4625 0 0
-3.4375 0 0
-3.4125 0 0
-3.3875 0 0
-3.3625 0 0
-3.3375 0 0
-3.3125 0 0
-3.2875 0 0
-3.2625 0 0
-3.2375 0 0
-3.2125 0 0
-3.1875 0 0
-3.1625 0 0
-3.1375 0 0
-3.1125 0 0
-3.0875 0 0
-3.0625 0 0
-3.0375 0 0
-3.0125 0 0
-2.9875 0 0
-2.9625 0 0
-2.9375 0 0
-2.9125 0 0
-2.8875 0 0
-2.8625 0 0
-2.8375 0 0
-2.8125 0 0
-2.7875 0 0
-2.7625 0 0
-2.7375 0 0
-2.7125 0 0
-2.6875 0 0
-2.6625 0 0
-2.6375 0 0
-2.6125 0 0
-2.5875 0 0
-2.5625 8.19672e-06 7.98918e-06
-2.5375 0 0
-2.5125 0 0
-2.4875 0 0
-2.4625 1.63934e-05 1.09971e-05
-2.4375 3.27869e-05 1.46627e-05
-2.4125 5.7377e-05 2.39675e-05
-2.3875 4.91803e-05 2.04097e-05
-2.3625 0.000180328 4.76539e-05
-2.3375 0.000172131 3.92673e-05
-2.3125 0.000295082 5.26125e-05
-2.2875 0.000319672 5.11557e-05
-2.2625 0.000409836 7.557e-05
-2.2375 0.000508197 7.50347e-05
-2.2125 0.000762295 8.77279e-05
-2.1875 0.000868852 0.000103096
-2.1625 0.00129508 0.000117015
-2.1375 0.00165574 0.000124795
-2.1125 0.00196721 0.000127511
-2.0875 0.0025 0.000179908
-2.0625 0.00356557 0.000242566
-2.0375 0.00418852 0.000197905
-2.0125 0.00502459 0.000241845
-1.9875 0.00647541 0.000371032
-1.9625 0.00827049 0.000318192
-1.9375 0.00958197 0.000381562
